bas10,model_use,gen_aquifer,bfi,ppt81_10,recharge,strmden,sand,relief,slopeave,wtdepave,rockdepave,hga,weg,sb_idw_c,be_idw_c,bi_idw_c,as_idw_c2,mo_idw_a,percent_ti,ivr,sls,lc11,lc82,Cv,D,D3,DSe,De_geo,M,Oe,Pzg1,Pzg2,Pzmi,Q,Qp,S3,Se,Tm,Tmc,Tp,Tpc,Tpv,Tr,uK3
0,v,carb_sdst,74,23.857873,35,0.108098,22.643999,819,29.222,5.938499,53.333,5,5.9,0.876079,1.637889,0.244244,9.753239,1.31085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,v,sg,28,25.55945,7,0.125986,25.8391,120,6.969999,5.0725,60,6,5.48,1.10871,1.000599,0.165015,8.68052,0.856719,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,v,sdst,36,17.288583,7,0.109963,45.540001,156,8.145,5.909999,34.470001,4,3.329999,0.799906,1.324759,0.130265,6.88983,0.765762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,v,sdst,49,32.246456,106,0.059084,53.342499,125,17.1,5.84,31.2,13,4.309999,0.451646,1.139919,0.112511,4.20093,0.330877,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,v,sg,26,23.344882,5,0,23.757401,181,3.404999,4.364999,60,0,5.3,0.961098,1.015239,0.145731,9.214139,0.943943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,v,sdst,36,16.820865,7,0.053178,29.302099,301,13.579999,6,29.2,0,5.05,0.918935,1.27283,0.18397,7.10901,0.930051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,v,unk,28,23.964962,6,0.027502,38.607498,70,6.969999,5.0725,60,6,5.48,0.749177,0.882676,0.130384,8.365039,0.79773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,v,sg,32,23.870079,7,0,19.140699,233,6.44,4.764999,60,0,5.82,0.935621,1.012269,0.163288,8.852339,0.954991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,v,unk,72,24.437793,372,0.234607,28.296,731,27.6,6,50.5,0,5.539999,0.378708,1.536139,0.14853,2.67943,1.062729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,v,sg,71,42.484645,791,0.253611,39.603001,1645,27.6,6,50.5,0,5.539999,0.366795,1.521149,0.131025,2.672919,1.092769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,v,sg,47,46.506298,421,0.068654,26.546,608,7.335,6,60,0,5.579999,0.803151,1.394719,0.069752,3.011529,0.895407,1.523803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,v,unk,35,23.991733,8,0.039451,24.0688,306,4.429999,4.88,60,0,5.789999,0.852447,0.978636,0.15953,7.28407,0.877654,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,v,sdst,23,15.239369,5,0.068203,35.323799,193,6.15,5.889999,46.455001,0,5.289999,0.786508,1.2302,0.144328,6.81637,1.19182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,v,sg,37,24.225984,9,0,24.0688,306,2.769999,5.094999,60,0,5,0.793237,0.930306,0.153576,8.08633,0.775263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,v,sg,35,24.262205,8,0,31.1458,44,2.769999,5.094999,60,0,5,0.808052,0.908051,0.166721,9.633689,0.812327,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,v,sdst,18,15.372834,3,0.08477,26.602501,207,41.044998,6,10.06,0,5.28,0.813247,1.256829,0.164823,6.77819,1.197589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,v,sg,66,11.489763,97,0.175605,38.8988,661,1.149999,4.387499,60,0,5.139999,0.890213,1.79504,0.40206,12.6491,1.018049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,v,semis,65,16.01929,19,0.181267,26.709299,224,4.36,5.909999,54.900001,0,5.559999,0.689777,1.238469,0.142894,7.33895,1.592069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,carb_sdst,37,31.694095,15,0,11.6694,167,1.455,5.8125,60,0,4.159999,0.095471,0.216154,0.027174,1.3621,0.79666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,c,carb_sdst,34,32.200393,15,0,10.3824,270,5.775,6,23.334999,0,7.428999,0.045475,0.112221,0.012772,0.553766,0.983376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,carb_sdst,27,32.789764,14,0.055897,11.2203,198,5.775,6,23.334999,0,7.428999,0.161918,0.389346,0.045001,1.94321,0.906826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,carb_sdst,33,32.548816,15,0,10.3824,270,5.775,6,23.334999,0,7.428999,0.045475,0.112221,0.012772,0.553766,0.983376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,carb_sdst,27,32.822834,15,0.054274,11.6694,167,5.775,6,23.334999,0,7.428999,0.161918,0.389346,0.045001,1.94321,0.906826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,carb_sdst,24,33.077556,16,0.0686,12.363,274,5.775,6,23.334999,0,7.428999,0.212762,0.504378,0.05809,2.33097,0.886745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
