date,city,precipitation
2018-07-19,STL,0.02
2018-07-20,STL,0.0
2018-07-21,STL,0.0
2018-07-22,STL,0.0
2018-07-23,STL,0.0
2018-07-24,STL,0.0
2018-07-25,STL,0.0
2018-07-26,STL,0.0
2018-07-27,STL,0.0
2018-07-28,STL,0.0
2018-07-29,STL,0.2
2018-07-30,STL,0.01
2018-07-31,STL,0.6
2018-08-01,STL,0.0
2018-08-02,STL,0.19
2018-08-03,STL,0.0
2018-08-04,STL,0.0
2018-08-05,STL,0.0
2018-08-06,STL,0.0
2018-08-07,STL,0.46
2018-08-08,STL,0.0
2018-08-09,STL,0.0
2018-08-10,STL,0.98
2018-08-11,STL,0.0
2018-08-12,STL,0.0
2018-08-13,STL,0.0
2018-08-14,STL,0.05
2018-08-15,STL,0.45
2018-08-16,STL,0.0
2018-08-17,STL,0.0
2018-08-18,STL,0.0
2018-08-19,STL,0.01
2018-08-20,STL,0.75
2018-08-21,STL,0.02
2018-08-22,STL,0.0
2018-08-23,STL,0.0
2018-08-24,STL,1.12
2018-08-25,STL,0.0
2018-08-26,STL,0.0
2018-08-27,STL,0.0
2018-08-28,STL,0.0
2018-08-29,STL,0.61
2018-08-30,STL,0.0
2018-08-31,STL,0.02
2018-09-01,STL,0.0
2018-09-02,STL,0.0
2018-09-03,STL,0.0
2018-09-04,STL,0.0
2018-09-05,STL,0.0
2018-09-06,STL,0.0
2018-09-07,STL,0.66
2018-09-08,STL,0.92
2018-09-09,STL,0.02
2018-09-10,STL,0.0
2018-09-11,STL,0.0
2018-09-12,STL,0.0
2018-09-13,STL,0.0
2018-09-14,STL,0.0
2018-09-15,STL,0.0
2018-09-16,STL,0.0
2018-09-17,STL,0.0
2018-09-18,STL,0.0
2018-09-19,STL,0.0
2018-09-20,STL,0.0
2018-09-21,STL,0.05
2018-09-22,STL,0.0
2018-09-23,STL,0.0
2018-09-24,STL,0.0
2018-09-25,STL,0.0
2018-09-26,STL,0.35
2018-09-27,STL,0.0
2018-09-28,STL,0.0
2018-09-29,STL,0.0
2018-09-30,STL,0.0
2018-10-01,STL,0.0
2018-10-02,STL,0.0
2018-10-03,STL,0.0
2018-10-04,STL,0.07
2018-10-05,STL,0.0
2018-10-06,STL,0.68
2018-10-07,STL,0.5
2018-10-08,STL,0.0
2018-10-09,STL,0.0
2018-10-10,STL,0.1
2018-10-11,STL,0.0
2018-10-12,STL,0.22
2018-10-13,STL,0.0
2018-10-14,STL,0.1
2018-10-15,STL,0.02
2018-10-16,STL,0.0
2018-10-17,STL,0.0
2018-10-18,STL,0.0
2018-10-19,STL,0.0
2018-10-20,STL,0.0
2018-10-21,STL,0.0
2018-10-22,STL,0.0
2018-10-23,STL,0.0
2018-10-24,STL,0.0
2018-10-25,STL,0.22
2018-10-26,STL,0.24
2018-10-27,STL,0.0
2018-10-28,STL,0.0
2018-10-29,STL,0.0
2018-10-30,STL,0.0
2018-10-31,STL,1.05
2018-11-01,STL,0.72
2018-11-02,STL,0.11
2018-11-03,STL,0.0
2018-11-04,STL,0.35
2018-11-05,STL,0.39
2018-11-06,STL,0.0
2018-11-07,STL,0.0
2018-11-08,STL,0.05
2018-11-09,STL,0.04
2018-11-10,STL,0.0
2018-11-11,STL,0.0
2018-11-12,STL,0.09
2018-11-13,STL,0.0
2018-11-14,STL,0.09
2018-11-15,STL,0.21
2018-11-16,STL,0.0
2018-11-17,STL,0.0
2018-11-18,STL,0.08
2018-11-19,STL,0.0
2018-11-20,STL,0.0
2018-11-21,STL,0.0
2018-11-22,STL,0.0
2018-11-23,STL,0.38
2018-11-24,STL,0.0
2018-11-25,STL,0.23
2018-11-26,STL,0.0
2018-11-27,STL,0.0
2018-11-28,STL,0.0
2018-11-29,STL,0.0
2018-11-30,STL,0.0
2018-12-01,STL,0.78
2018-12-02,STL,0.0
2018-12-03,STL,0.0
2018-12-04,STL,0.13
2018-12-05,STL,0.0
2018-12-06,STL,0.11
2018-12-07,STL,0.0
2018-12-08,STL,0.0
2018-12-09,STL,0.0
2018-12-10,STL,0.0
2018-12-11,STL,0.0
2018-12-12,STL,0.0
2018-12-13,STL,0.5
2018-12-14,STL,0.42
2018-12-15,STL,0.17
2018-12-16,STL,0.0
2018-12-17,STL,0.0
2018-12-18,STL,0.0
2018-12-19,STL,0.0
2018-12-20,STL,0.09
2018-12-21,STL,0.0
2018-12-22,STL,0.0
2018-12-23,STL,0.0
2018-12-24,STL,0.0
2018-12-25,STL,0.0
2018-12-26,STL,0.02
2018-12-27,STL,0.61
2018-12-28,STL,0.0
2018-12-29,STL,0.0
2018-12-30,STL,0.15
2018-12-31,STL,1.0
2019-01-01,STL,0.0
2019-01-02,STL,0.0
2019-01-03,STL,0.0
2019-01-04,STL,0.0
2019-01-05,STL,0.0
2019-01-06,STL,0.0
2019-01-07,STL,0.1
2019-01-08,STL,0.0
2019-01-09,STL,0.0
2019-01-10,STL,0.0
2019-01-11,STL,0.65
2019-01-12,STL,0.45
2019-01-13,STL,0.03
2019-01-14,STL,0.0
2019-01-15,STL,0.0
2019-01-16,STL,0.0
2019-01-17,STL,0.03
2019-01-18,STL,0.19
2019-01-19,STL,0.24
2019-01-20,STL,0.05
2019-01-21,STL,0.0
2019-01-22,STL,0.76
2019-01-23,STL,0.33
2019-01-24,STL,0.0
2019-01-25,STL,0.0
2019-01-26,STL,0.0
2019-01-27,STL,0.0
2019-01-28,STL,0.07
2019-01-29,STL,0.0
2019-01-30,STL,0.03
2019-01-31,STL,0.0
2019-02-01,STL,0.0
2019-02-02,STL,0.0
2019-02-03,STL,0.0
2019-02-04,STL,0.0
2019-02-05,STL,0.05
2019-02-06,STL,1.18
2019-02-07,STL,0.95
2019-02-08,STL,0.0
2019-02-09,STL,0.0
2019-02-10,STL,0.16
2019-02-11,STL,0.32
2019-02-12,STL,0.01
2019-02-13,STL,0.0
2019-02-14,STL,0.0
2019-02-15,STL,0.13
2019-02-16,STL,0.0
2019-02-17,STL,0.01
2019-02-18,STL,0.0
2019-02-19,STL,0.35
2019-02-20,STL,0.16
2019-02-21,STL,0.0
2019-02-22,STL,0.0
2019-02-23,STL,0.2
