"TreeNum"	"RecordNum"	"Response"	"Elevation"	"Easting"	"Northing"	"ElevCat"	"IndEdge15M"	"IndDBHIn"	"PropJP25"	"NeighQMD25"	"NeighSDIAlt25"	"NeighBSA25"	"PropJP5"	"NeighQMD5"	"NeighSDIAlt5"	"NeighBSA5"	"PropJP1"	"NeighQMD1"	"NeighSDIAlt1"	"NeighBSA1"	"PropJP15"	"NeighQMD15"	"NeighSDIAlt15"	"NeighBSA15"
25	13075	0	2119	766300.9998	4333855.367	1	1	10	0.655172414	9.760935512	25.9455765881252	15.069402	0.705882353	10.56353328	50.8035379977721	31.038714	0.759493671	10.54766157	79.0659468776444	47.935206	0.745762712	12.66517981	153.700790605365	103.233312
26	13076	0	2119	766308.8307	4333854.049	1	1	10	0.545454545	9.793318687	19.47771771868	11.50794	0.677419355	11.43283331	34.1129762434976	22.099608	0.725806452	10.86426519	64.4673567055395	39.912372	0.771084337	11.22980114	91.0087405360603	57.087018
27	13077	0	2119	766304.8408	4333852.417	1	1	7	0.642857143	9.888665951	25.616840898074	14.933052	0.7	10.97838786	41.9187386499914	26.293734	0.732394366	10.49748461	69.95616089437	42.672096	0.73	12.1445461	122.533557246204	80.441046
29	13079	0	2114	766300.2426	4333834.799	1	1	8	0.5	10.39230485	8.43652108834831	4.712256	0.666666667	9.181503145	25.7849934546524	13.793166	0.644067797	10.70719701	61.072682782693	36.890856	0.703296703	11.69248843	105.628715284393	67.853214
32	13082	0	2114	766291.7331	4333840.321	1	1	13	0.653846154	9.271544556	22.6768892546157	12.18969	0.74	9.679876032	45.2166564929068	25.55199	0.711111111	10.83358974	93.8423132008944	57.610602	0.705357143	12.02638468	133.92869819629	88.349346
34	13084	0	2119	766289.0672	4333845.049	1	1	11	0.666666667	8.974711948	27.2724533430003	14.496732	0.742424242	9.835772682	61.0049258340478	34.82379	0.718446602	11.32400149	113.612345389969	72.036432	0.701612903	11.91299101	146.048867888316	95.979492
35	13085	0	2119	766289.4756	4333848.2	1	0	10	0.714285714	9.022458751	34.9185173775632	18.647226	0.739130435	9.311050004	58.76114416962	32.625828	0.726415094	11.79102633	123.033156307705	80.375598	0.708661417	12.10648294	153.425644518741	101.520756
36	13086	0	2119	766289.9505	4333851.553	1	0	11	0.697674419	9.920615135	40.3498154895989	23.081328	0.743243243	9.176939371	61.5580736433305	33.989328	0.710280374	11.77911981	124.007459852473	80.970084	0.717557252	12.33378034	163.116844116343	108.687312
38	13088	0	2119	766293.8985	4333856.933	1	0	10	0.744186047	9.585599665	37.9228314251409	21.548754	0.714285714	10.15592719	59.2420804727669	35.440092	0.75	11.42365966	115.307035383397	74.021688	0.740740741	12.99829049	183.395105312335	124.400286
39	13089	0	2119	766290.9695	4333857.784	1	0	9	0.75	9.666954019	35.6597258851828	20.387052	0.75	10.51652139	71.3329454652501	43.430202	0.745454545	11.51125931	123.663844099941	79.497504	0.742647059	12.96063043	183.835591968673	124.59663
40	13090	0	2119	766289.9114	4333859.33	1	0	6	0.761904762	9.322272357	35.158182983027	19.9071	0.742857143	10.60121287	70.2152898814865	42.906618	0.745614035	11.59968239	129.607733703153	83.658906	0.739130435	13.20024154	192.263686026318	131.146884
42	13092	0	2119	766294.2081	4333859.869	1	0	8	0.75	9.374772725	37.403823709574	21.090618	0.73015873	10.7038044	63.7633270412461	39.366972	0.761904762	11.31244574	114.621971167376	73.285398	0.744360902	13.07813419	182.625882965944	124.067592
45	13095	0	2119	766274.674	4333847.069	1	0	11	0.777777778	10.53565375	46.27784827009	27.24273	0.710843373	11.27851139	91.8408505975333	57.583332	0.696721311	10.97052683	127.022301384016	80.081082	0.707482993	11.57906861	165.289130034591	107.492886
47	13097	0	2119	766277.9472	4333861.011	1	0	9	0.836734694	9.970364249	44.428733088202	26.566434	0.769230769	9.957050625	82.2369557404879	49.205988	0.71641791	12.22366191	164.565853336663	109.199988	0.75	13.19971811	240.979559861511	163.445472
48	13098	0	2119	766278.1164	4333860.661	1	0	13	0.833333333	10.03639211	43.9882464318631	26.37009	0.769230769	9.957050625	82.2369557404879	49.205988	0.71641791	12.22366191	164.565853336663	109.199988	0.75	13.19971811	240.979559861511	163.445472
