TreeNum	RecordNum	Response	Elevation	Easting	Northing	ElevCat	IndEdge15M	IndDBHIn	DeadDist	DeadDistInd	PropJP25	NeighQMD25	NeighSDIAlt25	NeighBSA25	BSADead25	BSADeadInd25	PropJP5	NeighQMD5	NeighSDIAlt5	NeighBSA5	BSADead5	BSADeadInd5	PropJP1	NeighQMD1	NeighSDIAlt1	NeighBSA1	BSADead1	BSADeadInd1	PropJP15	NeighQMD15	NeighSDIAlt15	NeighBSA15	BSADead15	BSADeadInd15	TreesPClus	BAPClus	NeighBSA9125	NeighBSA915	NeighBSA911	NeighBSA9115	BSADead25NEW	BSADeadInd25NEW	BSADead5NEW	BSADeadInd5NEW	BSADead1NEW	BSADeadInd1NEW	BSADead15NEW	BSADeadInd15NEW
13	13996	0	2110	766113.1054	4333845.99	1	0	4	60.58695464	0	1	9.906707684	13.12251134	7.493796	0	0	1	13.20110718	37.81805343	24.712074	0	0	1	15.12636829	102.5841411	71.131068	0	0	0.97826087	14.79791407	160.1701574	109.876284	0	0	15	24.128496	7.493796	24.712074	71.131068	109.876284	0	0	0	0	0	0	0	0
14	13064	0	2119	766298.8729	4333855.486	1	1	10	78.49183249	0	0.696969697	9.560017751	28.67225515	16.449264	0	0	0.698113208	10.44301699	51.83124513	31.52412	0	0	0.76744186	10.67707825	87.38664281	53.471016	0	0	0.745901639	13.03274564	166.6347711	113.017788	0	0	9	13.378662	16.449264	31.52412	53.471016	113.017788	0	0	0	0	0	0	0	0
15	13065	0	2119	766299.8802	4333860.568	1	1	8	76.7411703	0	0.714285714	10.928338	35.79632402	22.79772	0	0	0.76	11.16601988	53.64380554	34.000236	0	0	0.738636364	11.67261753	100.9955011	65.39346	0	0	0.772357724	12.66805726	161.1084006	107.656506	0	0	9	13.378662	22.79772	34.000236	65.39346	107.656506	0	0	0	0	0	0	0	0
17	13067	0	2119	766302.5517	4333861.804	1	1	28	78.50835201	0	0.655172414	11.4334657	31.6291588	20.676114	0	0	0.782608696	11.39698663	50.88667098	32.58765	0	0	0.763157895	11.36071254	84.46106186	53.498286	0	0	0.786324786	12.5687851	151.0367824	100.806282	0	0	9	13.378662	20.676114	32.58765	53.498286	100.806282	0	0	0	0	0	0	0	0
20	13070	0	2119	766303.0753	4333858.516	1	1	8	80.53147435	0	0.62962963	9.570401903	23.25665479	13.487742	0	0	0.777777778	10.65311639	45.00708926	27.853578	0	0	0.753246753	10.87711765	80.24546461	49.68594	0	0	0.773913043	12.76612365	152.1142699	102.218868	0	0	9	13.378662	13.487742	27.853578	49.68594	102.218868	0	0	0	0	0	0	0	0
22	13072	0	2119	766307.6322	4333856.684	1	1	8	85.40410747	0	0.583333333	9.632843125	20.76262577	12.146058	0	0	0.72972973	11.02576834	38.7437306	24.532092	0	0	0.742857143	10.67908503	70.89734462	43.539282	0	0	0.770833333	12.43566779	120.8414865	80.970084	0	0	9	13.378662	12.146058	24.532092	43.539282	80.970084	0	0	0	0	0	0	0	0
23	13073	0	2119	766310.7225	4333856.479	1	1	8	88.21857331	0	0.571428571	9.87059124	18.77874628	11.158884	0	0	0.6875	11.32061173	34.67711035	22.366854	0	0	0.728813559	10.99229314	62.43062167	38.881566	0	0	0.768292683	11.23691651	89.88403185	56.470716	0	0	9	13.378662	11.158884	22.366854	38.881566	56.470716	0	0	0	0	0	0	0	0
24	13074	0	2119	766311.0215	4333856.504	1	1	6	88.47087485	0	0.571428571	9.87059124	18.77874628	11.158884	0	0	0.6875	11.32061173	34.67711035	22.366854	0	0	0.736842105	11.11345005	61.40291454	38.39616	0	0	0.7625	11.21605991	87.19511005	54.889056	0	0	9	13.378662	11.158884	22.366854	38.39616	54.889056	0	0	0	0	0	0	0	0
25	13075	0	2119	766300.9998	4333855.367	1	1	10	80.35186746	0	0.655172414	9.760935512	25.94557659	15.069402	0	0	0.705882353	10.56353328	50.803538	31.038714	0	0	0.759493671	10.54766157	79.06594688	47.935206	0	0	0.745762712	12.66517981	153.7007906	103.233312	0	0	9	13.378662	15.069402	31.038714	47.935206	103.233312	0	0	0	0	0	0	0	0
26	13076	0	2119	766308.8307	4333854.049	1	1	10	87.74360142	0	0.545454545	9.793318687	19.47771772	11.50794	0	0	0.677419355	11.43283331	34.11297624	22.099608	0	0	0.725806452	10.86426519	64.46735671	39.912372	0	0	0.771084337	11.22980114	91.00874054	57.087018	0	0	9	13.378662	11.50794	22.099608	39.912372	57.087018	0	0	0	0	0	0	0	0
