"TreeNum"	"RecordNum"	"Response"	"Elevation"	"Easting"	"Northing"	"ElevCat"	"IndEdge15M"	"IndDBHIn"	"DeadDist"	"DeadDistInd"	"PropJP25"	"NeighQMD25"	"NeighSDIAlt25"	"NeighBSA25"	"BSADead25"	"BSADeadInd25"	"PropJP5"	"NeighQMD5"	"NeighSDIAlt5"	"NeighBSA5"	"BSADead5"	"BSADeadInd5"	"PropJP1"	"NeighQMD1"	"NeighBSA1"	"BSADead1"	"BSADeadInd1"	"PropJP15"	"NeighQMD15"	"NeighSDIAlt15"	"NeighBSA15"	"BSADead15"	"BSADeadInd15"	"TreesPClus"	"BAPClus"	"NeighBSA9125"	"NeighBSA915"	"NeighBSA911"	"NeighBSA9115"	"NeighSDIAlt1"	"BSADead25NEW"	"BSADeadInd25NEW"	"BSADead5NEW"	"BSADeadInd5NEW"	"BSADead1NEW"	"BSADeadInd1NEW"	"BSADead15NEW"	"BSADeadInd15NEW"
7005	9575	0	2195	766033.1121	4334366.662	2	0	4	1.176128075	1	0.394117647	8.423512068	98.82646533	52.243866	14.80761	1	0.473867596	9.284927385	207.2121742	114.255846	21.276054	1	0.531440162	9.885767298	215.86932	44.281026	1	0.572368421	10.63394135	535.1319099	313.30503	51.016716	1	203	179.240256	67.051476	135.5319	260.150346	364.321746	382.146145991987	14.229486	1	20.69793	1	43.566552	1	49.860468	1
7006	9574	0	2195	766038.3325	4334370.885	2	0	5	0.637346028	1	0.507692308	8.765981077	127.9596192	69.151266	11.867904	1	0.566433566	9.289757539	211.0851941	116.257464	17.39826	1	0.591752577	10.1336394	233.551188	32.871258	1	0.602201258	10.60668934	565.8041567	330.108804	49.244166	1	203	179.240256	81.01917	133.655724	266.422446	379.35297	407.423893647416	11.731554	1	16.820136	1	31.71501	1	45.829962	1
7007	9576	0	2195	766032.4389	4334367.088	2	0	4	1.549911614	1	0.369047619	8.38219506	97.27109289	51.34941	14.022234	1	0.466666667	9.266232813	204.8121932	112.859622	21.276054	1	0.527494908	9.841024903	212.335128	44.826426	1	0.571663921	10.60017153	530.3255637	310.092624	51.283962	1	203	179.240256	65.371644	134.135676	257.161554	361.376586	376.610067170534	13.44411	1	20.69793	1	44.111952	1	49.860468	1
7008	9577	0	2185	766024.2416	4334361.808	2	0	6	4.587674227	1	0.190839695	8.797726979	69.84513311	37.992564	19.367154	1	0.255813953	9.085022532	153.211892	83.729808	35.527356	1	0.459954233	10.02339218	190.688202	45.508176	1	0.528428094	10.58231334	498.8642831	291.947166	69.145812	1	203	179.240256	57.359718	119.257164	236.196378	361.092978	334.018770666916	18.92538	1	34.812882	1	44.793702	1	64.215396	1
7009	9578	0	2185	766023.8661	4334362.414	2	0	4	4.408482955	1	0.183206107	8.520958959	65.89891115	35.243748	19.808928	1	0.261538462	9.102880526	156.0795967	85.415094	34.60563	1	0.461187215	9.983941261	189.733752	45.508176	1	0.531666667	10.615535	503.4654701	295.012314	69.145812	1	203	179.240256	55.052676	120.020724	235.241928	364.158126	332.87640874357	19.367154	1	33.891156	1	44.793702	1	64.215396	1
7010	9579	0	2195	766032.4178	4334367.72	2	0	4	1.656584872	1	0.37804878	8.28868446	93.66407914	49.086	13.58046	1	0.466192171	9.26681982	202.2218068	111.468852	20.83428	1	0.526639344	9.837936776	211.146156	43.430202	1	0.571663921	10.6129008	530.3057993	310.22352	51.725736	1	203	179.240256	62.66646	132.303132	254.576358	361.949256	374.52230459325	13.002336	1	20.256156	1	42.715728	1	50.302242	1
7011	9580	0	2195	766038.4457	4334371.305	2	0	5	0.779873861	1	0.512820513	8.83416234	129.547423	70.231158	11.867904	1	0.573943662	9.327814861	211.6239561	116.737416	16.612884	1	0.596707819	10.13029672	234.516546	32.211324	1	0.601880878	10.6290134	569.6905356	332.732178	49.244166	1	203	179.240256	82.099062	133.3503	266.72787	381.976344	409.113509958948	11.731554	1	16.03476	1	31.055076	1	45.829962	1
7012	9581	0	2195	766035.5529	4334370.285	2	0	5	1.426096617	1	0.459893048	8.562860541	116.1107118	61.98471	12.658734	1	0.533568905	9.245386873	204.2921775	112.3524	19.263528	1	0.562372188	10.15176105	231.57684	37.55079	1	0.584269663	10.65615502	551.6879692	323.28585	51.802092	1	203	179.240256	74.643444	131.615928	269.12763	375.087942	403.711297442048	12.08061	1	18.685404	1	36.836316	1	49.047822	1
7013	9582	0	2195	766039.1599	4334371.922	2	0	5	1.236019822	1	0.518324607	8.958149765	129.2447314	70.46568	11.867904	1	0.581881533	9.392383482	216.1907823	119.802564	16.612884	1	0.602061856	10.16385941	237.199914	30.97872	1	0.603773585	10.66529951	573.4454546	335.628252	47.96793	1	203	179.240256	82.333584	136.415448	268.178634	383.596182	413.119813525129	11.731554	1	16.03476	1	29.822472	1	44.553726	1
7014	9583	0	2195	766039.6401	4334372.4	2	0	6	1.832408099	1	0.531914894	8.912270835	128.2276309	69.745752	10.96254	1	0.586206897	9.497493404	222.2978279	123.974874	16.612884	1	0.613034623	10.20500814	243.668358	29.844288	1	0.605965463	10.67656174	577.6538698	338.20254	45.64998	1	203	179.240256	80.708292	140.587758	273.512646	383.85252	423.703490142526	10.82619	1	16.03476	1	28.68804	1	42.235776	1
